,Opt_val,Eval_val,Loss_val,Eps,Test_val,Violations,Violation_val,Violation_train
0,-233.44722616144244,17387.45530348057,6289.067018452999,0.01,-233.44722616144244,0.31333333253860474,81.97833656281126,49.117567409314155
1,-226.3495977571476,9761.060790623636,3118.042441815713,0.08666666666666667,-226.3495977571476,0.2800000011920929,61.23736360216414,34.62999885106665
2,-219.25196979488786,4647.572423409966,1388.1471971519936,0.16333333333333336,-219.25196979488786,0.24666666984558105,42.16706643282913,23.4354018403239
3,-212.1543410752368,1938.6897466257901,477.9637627397043,0.24000000000000005,-212.1543410752368,0.1666666567325592,27.399619641764257,14.734612081729784
4,-205.05671281671127,787.5919352972878,76.54471643965076,0.3166666666666667,-205.05671281671127,0.12000000476837158,18.02646896598598,8.800026467677975
5,-197.95908423330343,235.79887107410372,-83.3699400499485,0.39333333333333337,-197.95908423330343,0.07333333790302277,11.323032016885753,5.059437489867162
6,-190.8614550958503,0.6635391323316782,-142.90638614900732,0.4700000000000001,-190.8614550958503,0.06666666269302368,6.978307061538539,2.814771809622673
7,-183.76382707552239,-117.63248012847586,-162.59637652776627,0.5466666666666667,-183.76382707552239,0.0533333346247673,3.518381898602036,1.5308611158048182
8,-176.6661987250401,-149.97296879543796,-168.09882811218338,0.6233333333333334,-176.6661987250401,0.013333333656191826,1.831095401036216,0.7252427864582411
9,-169.56857022792212,-158.76418638188483,-168.04323254019016,0.7000000000000001,-169.56857022792212,0.013333333656191826,0.8847449693889616,0.14712251049929237
10,-162.4709414916093,-156.78908269327735,-162.4709414916093,0.7766666666666667,-162.4709414916093,0.006666666828095913,0.5045445732373721,0.0
11,-155.3733132550389,-153.24630519681673,-155.3733132550389,0.8533333333333334,-155.3733132550389,0.006666666828095913,0.20245390945846473,0.0
12,-148.2756843400005,-148.2756843400005,-148.2756843400005,0.9300000000000003,-148.2756843400005,0.0,0.0,0.0
13,-141.178056117471,-141.178056117471,-141.178056117471,1.0066666666666668,-141.178056117471,0.0,0.0,0.0
14,-134.08042750666027,-134.08042750666027,-134.08042750666027,1.0833333333333335,-134.08042750666027,0.0,0.0,0.0
15,-126.98279892755428,-126.98279892755428,-126.98279892755428,1.1600000000000001,-126.98279892755428,0.0,0.0,0.0
16,-119.88517067561621,-119.88517067561621,-119.88517067561621,1.2366666666666668,-119.88517067561621,0.0,0.0,0.0
17,-112.78754218775217,-112.78754218775217,-112.78754218775217,1.3133333333333335,-112.78754218775217,0.0,0.0,0.0
18,-105.68991364453134,-105.68991364453134,-105.68991364453134,1.3900000000000001,-105.68991364453134,0.0,0.0,0.0
19,-98.59228512110025,-98.59228512110025,-98.59228512110025,1.4666666666666668,-98.59228512110025,0.0,0.0,0.0
20,-91.49465661419158,-91.49465661419158,-91.49465661419158,1.5433333333333334,-91.49465661419158,0.0,0.0,0.0
21,-84.39702810977624,-84.39702810977624,-84.39702810977624,1.62,-84.39702810977624,0.0,0.0,0.0
22,-77.2993996100509,-77.2993996100509,-77.2993996100509,1.6966666666666665,-77.2993996100509,0.0,0.0,0.0
23,-70.20177109169265,-70.20177109169265,-70.20177109169265,1.7733333333333332,-70.20177109169265,0.0,0.0,0.0
24,-63.104142580263265,-63.104142580263265,-63.104142580263265,1.8500000000000003,-63.104142580263265,0.0,0.0,0.0
25,-56.00651409269419,-56.00651409269419,-56.00651409269419,1.9266666666666667,-56.00651409269419,0.0,0.0,0.0
26,-48.90888557542181,-48.90888557542181,-48.90888557542181,2.0033333333333334,-48.90888557542181,0.0,0.0,0.0
27,-41.81125706288444,-41.81125706288444,-41.81125706288444,2.08,-41.81125706288444,0.0,0.0,0.0
28,-34.713628552649425,-34.713628552649425,-34.713628552649425,2.1566666666666667,-34.713628552649425,0.0,0.0,0.0
29,-27.616000042645226,-27.616000042645226,-27.616000042645226,2.2333333333333334,-27.616000042645226,0.0,0.0,0.0
30,-20.518371532241666,-20.518371532241666,-20.518371532241666,2.31,-20.518371532241666,0.0,0.0,0.0
31,-13.420743021387612,-13.420743021387612,-13.420743021387612,2.3866666666666667,-13.420743021387612,0.0,0.0,0.0
32,-6.323114510321954,-6.323114510321954,-6.323114510321954,2.4633333333333334,-6.323114510321954,0.0,0.0,0.0
33,0.7745139989071284,0.7745139989071284,0.7745139989071284,2.54,0.7745139989071284,0.0,0.0,0.0
34,7.872142511721485,7.872142511721485,7.872142511721485,2.6166666666666667,7.872142511721485,0.0,0.0,0.0
35,14.969771025673417,14.969771025673417,14.969771025673417,2.6933333333333334,14.969771025673417,0.0,0.0,0.0
36,22.067399539238146,22.067399539238146,22.067399539238146,2.77,22.067399539238146,0.0,0.0,0.0
37,29.16502805220066,29.16502805220066,29.16502805220066,2.8466666666666667,29.16502805220066,0.0,0.0,0.0
38,36.26265656459511,36.26265656459511,36.26265656459511,2.9233333333333333,36.26265656459511,0.0,0.0,0.0
39,43.36028507660969,43.36028507660969,43.36028507660969,3.0,43.36028507660969,0.0,0.0,0.0
